country,countryiso3,t.pm2.5.c.2016,u.pm2.5.c.2016,r.pm2.5.c.2016,t.ap.d.2016.total,t.ap.d.2016.lri,t.ap.d.2016.tblc,t.ap.d.2016.ihd,t.ap.d.2016.stroke,t.ap.d.2016.copd,ap.d.100k.2016.total,ap.d.100k.2016.lri,ap.d.100k.2016.tblc,ap.d.100k.2016.ihd,ap.d.100k.2016.stroke,ap.d.100k.2016.copd,ap.d.100k.as.2016.total,ap.d.100k.as.2016.lri,ap.d.100k.as.2016.tblc,ap.d.100k.as.2016.ihd,ap.d.100k.as.2016.stroke,ap.d.100k.as.2016.copd,t.ap.dal.2016.total,t.ap.dal.2016.lri,t.ap.dal.2016.tblc,t.ap.dal.2016.ihd,t.ap.dal.2016.stroke,t.ap.dal.2016.copd,ap.dal.100k.2016.total,ap.dal.100k.2016.lri,ap.dal.100k.2016.tblc,ap.dal.100k.2016.ihd,ap.dal.100k.2016.stroke,ap.dal.100k.2016.copd,ap.dal.100k.as.2016.total,ap.dal.100k.as.2016.lri,ap.dal.100k.as.2016.tblc,ap.dal.100k.as.2016.ihd,ap.dal.100k.as.2016.stroke,ap.dal.100k.as.2016.copd,t.ap.yll.2016.total,t.ap.yll.2016.lri,t.ap.yll.2016.tblc,t.ap.yll.2016.ihd,t.ap.yll.2016.stroke,t.ap.yll.2016.copd,t.hap.d.2016.total,t.hap.d.2016.lri,t.hap.d.2016.tblc,t.hap.d.2016.ihd,t.hap.d.2016.stroke,t.hap.d.2016.copd,hap.d.100k.2016.total,hap.d.100k.2016.lri,hap.d.100k.2016.tblc,hap.d.100k.2016.ihd,hap.d.100k.2016.stroke,hap.d.100k.2016.copd,hap.d.100k.as.2016.total,hap.d.100k.as.2016.lri,hap.d.100k.as.2016.tblc,hap.d.100k.as.2016.ihd,hap.d.100k.as.2016.stroke,hap.d.100k.as.2016.copd,t.hap.dal.2016.total,t.hap.dal.2016.lri,t.hap.dal.2016.tblc,t.hap.dal.2016.ihd,t.hap.dal.2016.stroke,t.hap.dal.2016.copd,hap.dal.100k.2016.total,hap.dal.100k.2016.lri,hap.dal.100k.2016.tblc,hap.dal.100k.2016.ihd,hap.dal.100k.2016.stroke,hap.dal.100k.2016.copd,hap.dal.100k.as.2016.total,hap.dal.100k.as.2016.lri,hap.dal.100k.as.2016.tblc,hap.dal.100k.as.2016.ihd,hap.dal.100k.as.2016.stroke,hap.dal.100k.as.2016.copd
Uruguay,URY,8.6,8.7,8,972,111,72,407,203,179,28,3,2,12,6,5,15,2,1,7,3,3,18324,1686,1766,7725,3852,3294,532,49,51,224,112,96,356,32,38,154,73,60,17559,1669,1750,7663,3478,2999,153,34,30,32,19,38,4,1,1,1,1,1,2,0,1,1,0,1,3024,512,737,634,374,702,88,15,21,18,11,20,60,10,16,13,8,13
United States of America,USA,7.4,7.6,6.7,77550,4065,5685,43228,9421,15152,24,1,2,13,3,5,13,1,1,8,2,2,1660874,78774,126445,901445,201369,352842,516,24,39,280,63,110,333,17,24,186,40,66,1527317,77711,124225,897075,167278,261028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,UZB,25.3,28.9,22.3,14414,1047,207,10527,2263,370,46,3,1,33,7,1,69,4,1,52,11,2,404567,67406,6605,257459,62040,11057,1287,214,21,819,197,35,1716,206,28,1158,275,49,397001,66863,6538,256603,58246,8751,3091,407,101,1960,495,127,10,1,0,6,2,0,14,1,0,10,2,1,97607,26381,3243,50140,13589,3795,310,84,10,159,43,12,393,80,14,221,59,17
Saint Vincent and the Grenadines,VCT,21.2,21.4,19.7,47,9,1,23,11,3,42,8,1,21,10,3,42,8,1,21,10,3,1079,244,31,464,266,75,984,222,28,423,243,69,993,229,27,426,243,68,1058,242,31,460,258,67,7,2,0,2,1,1,6,2,0,2,1,1,6,2,0,2,1,1,175,60,10,53,35,15,160,55,9,48,32,14,161,56,9,48,32,13
Venezuela (Bolivarian Republic of),VEN,15.8,16.8,14.6,8297,979,398,4601,1443,875,26,3,1,15,5,3,32,4,1,17,6,3,214999,32587,10728,117206,35362,19117,681,103,34,371,112,61,769,108,39,422,128,72,209423,32457,10629,116546,34057,15734,971,206,114,363,136,152,3,1,0,1,0,0,4,1,0,1,1,1,26809,6837,3073,9758,3517,3288,85,22,10,31,11,10,95,23,11,35,13,12
Viet Nam,VNM,29.7,30.1,26.6,34232,3845,3423,10741,11189,5034,36,4,4,11,12,5,36,4,4,11,12,5,913867,153211,91869,232756,287310,148721,966,162,97,246,304,157,996,170,100,252,312,162,830049,152026,90674,229907,273461,83982,32730,4747,5579,7618,9125,5661,35,5,6,8,10,6,35,5,6,8,10,6,936483,189982,148564,168951,232756,165286,990,201,157,179,246,175,1021,211,162,182,253,180
Vanuatu,VUT,10.3,11,10.1,55,7,1,28,12,6,20,3,0,10,5,2,37,4,1,19,9,5,1704,373,32,760,344,195,630,138,12,281,127,72,935,134,18,453,208,122,1615,370,32,756,321,136,168,38,8,63,36,24,62,14,3,23,13,9,111,21,5,43,25,18,5682,1958,243,1696,972,761,2101,724,90,627,359,282,2942,700,137,1014,580,475
Samoa,WSM,10.6,10.9,10.2,38,5,1,20,9,4,20,3,0,10,5,2,27,3,0,14,6,3,1019,174,22,483,218,121,522,89,11,248,112,62,689,95,15,338,155,86,954,172,22,481,202,79,94,22,4,35,20,12,48,11,2,18,10,6,66,15,3,25,14,9,2648,744,131,868,480,387,1357,381,67,445,246,198,1742,404,89,607,340,276
Yemen,YEM,45,44.3,46.5,15291,3748,96,7686,2629,1131,55,14,0,28,10,4,123,17,1,69,24,12,630899,267726,2784,242236,84978,33173,2287,971,10,878,308,120,3547,766,23,1844,632,281,622596,266797,2717,241470,82770,28842,12334,3766,116,5306,2064,1082,45,14,0,19,7,4,94,17,1,47,18,11,550915,270314,3395,171163,67643,31849,1997,980,12,621,245,115,2901,769,28,1281,491,269
South Africa,ZAF,23.6,24.3,20.9,22917,7605,993,6985,3985,3348,41,14,2,12,7,6,59,18,3,18,11,9,740199,333445,27789,180366,103570,95029,1321,595,50,322,185,170,1636,639,66,437,253,241,712084,332274,27569,179304,99797,73139,13642,5846,1012,2705,1814,2264,24,10,2,5,3,4,34,14,3,7,5,6,474205,258347,28073,71741,47398,64505,847,461,50,128,85,115,1022,493,67,172,114,164
Zambia,ZMB,24.7,23.8,25.2,3768,2170,16,870,474,236,23,13,0,5,3,1,47,19,0,15,8,5,191812,144246,472,25216,14261,7617,1156,869,3,152,86,46,1452,731,8,373,215,126,188655,143982,462,25015,13744,5452,8277,5384,56,1389,915,533,50,32,0,8,6,3,98,46,1,25,16,10,447336,359030,1633,40036,26951,17089,2696,2164,10,241,162,103,3168,1810,26,595,405,284
Zimbabwe,ZWE,19.4,19.1,19.5,3686,1958,28,872,505,323,23,12,0,5,3,2,47,19,0,14,8,5,158920,111563,769,21510,15555,9524,984,691,5,133,96,59,1347,667,11,324,199,145,155466,111315,755,21299,15073,7024,8417,5251,102,1351,951,763,52,33,1,8,6,5,103,51,2,22,14,13,390716,300470,2857,33436,29166,22433,2419,1860,18,207,181,139,3084,1787,42,504,371,341
